PRIME,TARGET,RELATIONSHIP,LEXICALITY,COR_ANS,target_lowercase,list
pill,PILL,identity,W,J,pill,3
tend,TEND,identity,W,J,tend,3
pan,PAN,identity,W,J,pan,3
hatch,HATCH,identity,W,J,hatch,3
bush,BUSH,identity,W,J,bush,3
prom,PROM,identity,W,J,prom,3
pat,PAT,identity,W,J,pat,3
yell,YELL,identity,W,J,yell,3
pet,PET,identity,W,J,pet,3
sand,SAND,identity,W,J,sand,3
chip,CHIP,identity,W,J,chip,3
bat,BAT,identity,W,J,bat,3
horn,HORN,identity,W,J,horn,3
chuck,CHUCK,identity,W,J,chuck,3
plain,PLAIN,identity,W,J,plain,3
drag,DRAG,identity,W,J,drag,3
bull,BULL,identity,W,J,bull,3
rat,RAT,identity,W,J,rat,3
buck,BUCK,identity,W,J,buck,3
bell,BELL,identity,W,J,bell,3
tricked,TRICK,decomposition_w,W,J,trick,3
bands,BAND,decomposition_w,W,J,band,3
windy,WIND,decomposition_w,W,J,wind,3
nicked,NICK,decomposition_w,W,J,nick,3
walled,WALL,decomposition_w,W,J,wall,3
cashed,CASH,decomposition_w,W,J,cash,3
starry,STAR,decomposition_w,W,J,star,3
marker,MARK,decomposition_w,W,J,mark,3
tripping,TRIP,decomposition_w,W,J,trip,3
rocking,ROCK,decomposition_w,W,J,rock,3
singer,SING,decomposition_w,W,J,sing,3
planned,PLAN,decomposition_w,W,J,plan,3
sickly,SICK,decomposition_w,W,J,sick,3
freedom,FREE,decomposition_w,W,J,free,3
picked,PICK,decomposition_w,W,J,pick,3
funny,FUN,decomposition_w,W,J,fun,3
turned,TURN,decomposition_w,W,J,turn,3
carless,CAR,decomposition_w,W,J,car,3
boyhood,BOY,decomposition_w,W,J,boy,3
manly,MAN,decomposition_w,W,J,man,3
appenden,APPEND,decomposition_pw,PW,F,append,3
beeted,BEET,decomposition_pw,PW,F,beet,3
scuffic,SCUFF,decomposition_pw,PW,F,scuff,3
mully,MULL,decomposition_pw,PW,F,mull,3
musked,MUSK,decomposition_pw,PW,F,musk,3
inferous,INFER,decomposition_pw,PW,F,infer,3
baskous,BASK,decomposition_pw,PW,F,bask,3
toility,TOIL,decomposition_pw,PW,F,toil,3
briskic,BRISK,decomposition_pw,PW,F,brisk,3
twitten,TWIT,decomposition_pw,PW,F,twit,3
electy,ELECT,decomposition_pw,PW,F,elect,3
rumpize,RUMP,decomposition_pw,PW,F,rump,3
pulpage,PULP,decomposition_pw,PW,F,pulp,3
brower,BROW,decomposition_pw,PW,F,brow,3
surgeous,SURGE,decomposition_pw,PW,F,surge,3
snuffic,SNUFF,decomposition_pw,PW,F,snuff,3
tacker,TACK,decomposition_pw,PW,F,tack,3
tangic,TANG,decomposition_pw,PW,F,tang,3
trumpen,TRUMP,decomposition_pw,PW,F,trump,3
sleden,SLED,decomposition_pw,PW,F,sled,3
berry,SCALP,control,W,J,scalp,3
reef,MUTT,control,W,J,mutt,3
crow,FLEE,control,W,J,flee,3
timer,SHACK,control,W,J,shack,3
vow,RIB,control,W,J,rib,3
surf,CHAP,control,W,J,chap,3
click,STERN,control,W,J,stern,3
gown,PIER,control,W,J,pier,3
dorm,TICK,control,W,J,tick,3
rum,TON,control,W,J,ton,3
hose,RACK,control,W,J,rack,3
feast,SKILL,control,W,J,skill,3
pod,JAR,control,W,J,jar,3
oven,PIMP,control,W,J,pimp,3
fame,SOCK,control,W,J,sock,3
deed,CART,control,W,J,cart,3
porch,BLANK,control,W,J,blank,3
grip,DOCK,control,W,J,dock,3
raw,SUM,control,W,J,sum,3
fund,TWIN,control,W,J,twin,3
