prime,target,condition,primetype,corrAns
starch,STAR,ortho_nsyll,related,J
scarce,SCAR,ortho_nsyll,related,J
pawn,PAW,ortho_nsyll,related,J
hemp,HEM,ortho_nsyll,related,J
overt,OVER,ortho_nsyll,related,J
pinch,PIN,ortho_nsyll,related,J
fleece,FLEE,ortho_nsyll,related,J
tart,TAR,ortho_nsyll,related,J
sight,SIGH,ortho_nsyll,related,J
tease,TEA,ortho_nsyll,related,J
gasp,GAS,ortho_nsyll,related,J
warmth,WAR,ortho_nsyll,related,J
runt,RUN,ortho_nsyll,related,J
peer,PEE,ortho_nsyll,related,J
charge,CHAR,ortho_nsyll,related,J
zoom,ZOO,ortho_nsyll,related,J
silken,TWIN,ortho_nsyll,unrelated,J
nuns,SEA,ortho_nsyll,unrelated,J
dots,RAM,ortho_nsyll,unrelated,J
gangs,STUN,ortho_nsyll,unrelated,J
monks,FAR,ortho_nsyll,unrelated,J
suns,BAR,ortho_nsyll,unrelated,J
casks,DRAW,ortho_nsyll,unrelated,J
soils,GROW,ortho_nsyll,unrelated,J
moths,WHIR,ortho_nsyll,unrelated,J
figs,WEE,ortho_nsyll,unrelated,J
stored,PROM,ortho_nsyll,unrelated,J
wiped,DEN,ortho_nsyll,unrelated,J
urges,BLUR,ortho_nsyll,unrelated,J
sobs,BEE,ortho_nsyll,unrelated,J
lays,YAW,ortho_nsyll,unrelated,J
eked,FUR,ortho_nsyll,unrelated,J
canvas,CAN,ortho_syll,related,J
enterprise,ENTER,ortho_syll,related,J
ginseng,GIN,ortho_syll,related,J
tandem,TAN,ortho_syll,related,J
counterfeit,COUNTER,ortho_syll,related,J
sincere,SIN,ortho_syll,related,J
maintain,MAIN,ortho_syll,related,J
dogma,DOG,ortho_syll,related,J
pundit,PUN,ortho_syll,related,J
panda,PAN,ortho_syll,related,J
haggis,HAG,ortho_syll,related,J
carcass,CAR,ortho_syll,related,J
plantain,PLAN,ortho_syll,related,J
marquis,MAR,ortho_syll,related,J
banjo,BAN,ortho_syll,related,J
bungee,BUN,ortho_syll,related,J
faded,BRA,ortho_syll,unrelated,J
sleeper,TAB,ortho_syll,unrelated,J
closeness,APART,ortho_syll,unrelated,J
columnist,PLAIN,ortho_syll,unrelated,J
dating,SUM,ortho_syll,unrelated,J
blender,LET,ortho_syll,unrelated,J
sicker,CASH,ortho_syll,unrelated,J
poster,GOB,ortho_syll,unrelated,J
wiper,GUM,ortho_syll,unrelated,J
setter,MAN,ortho_syll,unrelated,J
absorbent,EXTRA,ortho_syll,unrelated,J
roomy,PAR,ortho_syll,unrelated,J
leaning,BOY,ortho_syll,unrelated,J
wasted,TEN,ortho_syll,unrelated,J
highest,CAP,ortho_syll,unrelated,J
exited,HUM,ortho_syll,unrelated,J
muddy,MUD,transparent,related,J
wisely,WISE,transparent,related,J
plugging,PLUG,transparent,related,J
honorable,HONOR,transparent,related,J
