prime,target,condition,primetype,corrAns,list
musician,READABLE,word-identity,unrelated,j,1b
optimist,DOCTORAL,word-identity,unrelated,j,1b
lively,BINDER,word-identity,unrelated,j,1b
nested,MERGER,word-identity,unrelated,j,1b
deepest,BREAKER,word-identity,unrelated,j,1b
facial,HELPER,word-identity,unrelated,j,1b
vanity,CUTTER,word-identity,unrelated,j,1b
herbal,BARKER,word-identity,unrelated,j,1b
immoral,CLIPPER,word-identity,unrelated,j,1b
abusive,CRUSHER,word-identity,unrelated,j,1b
farmer,FARMER,word-identity,related,j,1b
fisher,FISHER,word-identity,related,j,1b
healer,HEALER,word-identity,related,j,1b
holder,HOLDER,word-identity,related,j,1b
freezer,FREEZER,word-identity,related,j,1b
loader,LOADER,word-identity,related,j,1b
tension,TENSION,word-identity,related,j,1b
selfish,SELFISH,word-identity,related,j,1b
shipment,SHIPMENT,word-identity,related,j,1b
kinship,KINSHIP,word-identity,related,j,1b
fairness,TAXABLE,word-transparent,unrelated,j,1b
flagship,SEASONAL,word-transparent,unrelated,j,1b
textual,BEGINNER,word-transparent,unrelated,j,1b
tourist,CALLER,word-transparent,unrelated,j,1b
coercion,EXPLORER,word-transparent,unrelated,j,1b
reckless,FINDER,word-transparent,unrelated,j,1b
loosely,HANDLER,word-transparent,unrelated,j,1b
greedy,SOLVER,word-transparent,unrelated,j,1b
hardness,KEEPER,word-transparent,unrelated,j,1b
tighten,DREAMER,word-transparent,unrelated,j,1b
seeker,RUNNER,word-transparent,related,j,1b
learner,SHOOTER,word-transparent,related,j,1b
planner,TOASTER,word-transparent,related,j,1b
founder,WRAPPER,word-transparent,related,j,1b
burner,WAITER,word-transparent,related,j,1b
painter,BREWER,word-transparent,related,j,1b
erection,DEVOTION,word-transparent,related,j,1b
foolish,CHILDISH,word-transparent,related,j,1b
judgment,BASEMENT,word-transparent,related,j,1b
friendship,TOWNSHIP,word-transparent,related,j,1b
tactful,ADORABLE,word-opaque,unrelated,j,1b
keyhole,COASTAL,word-opaque,unrelated,j,1b
searcher,MILEAGE,word-opaque,unrelated,j,1b
watery,ADVISER,word-opaque,unrelated,j,1b
muddy,ADMIRER,word-opaque,unrelated,j,1b
slightly,BUZZER,word-opaque,unrelated,j,1b
happily,COOKER,word-opaque,unrelated,j,1b
stainless,ERASER,word-opaque,unrelated,j,1b
senseless,GAMBLER,word-opaque,unrelated,j,1b
thinly,GOLFER,word-opaque,unrelated,j,1b
wander,JOGGER,word-opaque,related,j,1b
badger,LENDER,word-opaque,related,j,1b
bother,MARKER,word-opaque,related,j,1b
brother,OFFENDER,word-opaque,related,j,1b
corner,RAIDER,word-opaque,related,j,1b
center,REAPER,word-opaque,related,j,1b
million,ATTRACTION,word-opaque,related,j,1b
rubbish,SLUGGISH,word-opaque,related,j,1b
mustard,DRUNKARD,word-opaque,related,j,1b
figment,MOVEMENT,word-opaque,related,j,1b
cattle,BLAME,word-semantic,unrelated,j,1b
grass,BOW,word-semantic,unrelated,j,1b
sincere,HELIUM,word-semantic,unrelated,j,1b
scrabble,BEARD,word-semantic,unrelated,j,1b
clause,CRAZY,word-semantic,unrelated,j,1b
bargain,QUILT,word-semantic,unrelated,j,1b
despair,LEND,word-semantic,unrelated,j,1b
vaccine,DISC,word-semantic,unrelated,j,1b
profile,TICKET,word-semantic,unrelated,j,1b
purge,VOTE,word-semantic,unrelated,j,1b
guilt,SHAME,word-semantic,related,j,1b
journey,QUEST,word-semantic,related,j,1b
muscle,FLEX,word-semantic,related,j,1b
narrow,WIDE,word-semantic,related,j,1b
poetry,PROSE,word-semantic,related,j,1b
scratch,ITCH,word-semantic,related,j,1b
succeed,EXCEL,word-semantic,related,j,1b
swallow,GULP,word-semantic,related,j,1b
twelve,DOZEN,word-semantic,related,j,1b
workout,GYM,word-semantic,related,j,1b
munched,DRIVER,word-pseudopaque,unrelated,j,1b
deathly,GRINDER,word-pseudopaque,unrelated,j,1b
longish,HITTER,word-pseudopaque,unrelated,j,1b
boneless,LOCKER,word-pseudopaque,unrelated,j,1b
faithless,MAILER,word-pseudopaque,unrelated,j,1b
stylist,MIXER,word-pseudopaque,unrelated,j,1b
arduous,OFFICER,word-pseudopaque,unrelated,j,1b
mindful,PEELER,word-pseudopaque,unrelated,j,1b
shyness,PLAYER,word-pseudopaque,unrelated,j,1b
tidily,POINTER,word-pseudopaque,unrelated,j,1b
fodder,PRINTER,word-pseudopaque,related,j,1b
cipher,SETTLER,word-pseudopaque,related,j,1b
clobber,SCORER,word-pseudopaque,related,j,1b
cover,BOXER,word-pseudopaque,related,j,1b
fashion,DIVISION,word-pseudopaque,related,j,1b
worship,FELLOWSHIP,word-pseudopaque,related,j,1b
corsage,USAGE,word-pseudopaque,related,j,1b
blister,BOILER,word-pseudopaque,related,j,1b
pheasant,SERVANT,word-pseudopaque,related,j,1b
custard,DULLARD,word-pseudopaque,related,j,1b
smoulder,SMOULD,pseudo-transparent,related,f,1b
fluster,FLUST,pseudo-transparent,related,f,1b
clatter,CLAT,pseudo-transparent,related,f,1b
stammer,STAM,pseudo-transparent,related,f,1b
colander,COLAND,pseudo-transparent,related,f,1b
anger,ANG,pseudo-transparent,related,f,1b
blather,BLATH,pseudo-transparent,related,f,1b
whither,WHITH,pseudo-transparent,related,f,1b
launder,LAUND,pseudo-transparent,related,f,1b
cloister,CLOIST,pseudo-transparent,related,f,1b
fission,FISS,pseudo-transparent,related,f,1b
advantage,ADVANT,pseudo-transparent,related,f,1b
scandal,SCAND,pseudo-transparent,related,f,1b
elephant,ELEPH,pseudo-transparent,related,f,1b
cluster,CLUST,pseudo-transparent,related,f,1b
thunder,THUND,pseudo-transparent,related,f,1b
segment,SEG,pseudo-transparent,related,f,1b
another,ANOTH,pseudo-transparent,related,f,1b
winter,WINT,pseudo-transparent,related,f,1b
neither,NEITH,pseudo-transparent,related,f,1b
slifer,SLITH,pseudo-orthographic,related,f,1b
spunner,SPUT,pseudo-orthographic,related,f,1b
blutter,BLUST,pseudo-orthographic,related,f,1b
flounner,FLOUND,pseudo-orthographic,related,f,1b
coroper,CORON,pseudo-orthographic,related,f,1b
caliser,CALIP,pseudo-orthographic,related,f,1b
stupper,STUT,pseudo-orthographic,related,f,1b
flunner,FLUT,pseudo-orthographic,related,f,1b
slubber,SLUMB,pseudo-orthographic,related,f,1b
covver,COFF,pseudo-orthographic,related,f,1b
forrer,FOD,pseudo-orthographic,related,f,1b
ciller,CIPH,pseudo-orthographic,related,f,1b
cloxer,CLOB,pseudo-orthographic,related,f,1b
coser,COV,pseudo-orthographic,related,f,1b
favion,FASH,pseudo-orthographic,related,f,1b
wofship,WOR,pseudo-orthographic,related,f,1b
corlage,CORS,pseudo-orthographic,related,f,1b
blinner,BLIST,pseudo-orthographic,related,f,1b
pheanant,PHEAS,pseudo-orthographic,related,f,1b
cuccard,CUST,pseudo-orthographic,related,f,1b
whimp,WHIMP,pseudo-identity,related,f,1b
holst,HOLST,pseudo-identity,related,f,1b
bolst,BOLST,pseudo-identity,related,f,1b
blund,BLUND,pseudo-identity,related,f,1b
plast,PLAST,pseudo-identity,related,f,1b
bick,BICK,pseudo-identity,related,f,1b
lobst,LOBST,pseudo-identity,related,f,1b
glit,GLIT,pseudo-identity,related,f,1b
alabast,ALABAST,pseudo-identity,related,f,1b
monst,MONST,pseudo-identity,related,f,1b
clut,CLUT,pseudo-identity,related,f,1b
plund,PLUND,pseudo-identity,related,f,1b
sland,SLAND,pseudo-identity,related,f,1b
orch,ORCH,pseudo-identity,related,f,1b
nour,NOUR,pseudo-identity,related,f,1b
vant,VANT,pseudo-identity,related,f,1b
acryl,ACRYL,pseudo-identity,related,f,1b
pench,PENCH,pseudo-identity,related,f,1b
clim,CLIM,pseudo-identity,related,f,1b
prost,PROST,pseudo-identity,related,f,1b
acquatic,AFF,pseudo-unrelated,unrelated,f,1b
portal,BLUB,pseudo-unrelated,unrelated,f,1b
sharpen,SCALL,pseudo-unrelated,unrelated,f,1b
careless,SQUAND,pseudo-unrelated,unrelated,f,1b
despotic,SMOTH,pseudo-unrelated,unrelated,f,1b
bitten,GARN,pseudo-unrelated,unrelated,f,1b
cursory,FRANT,pseudo-unrelated,unrelated,f,1b
marital,ADREN,pseudo-unrelated,unrelated,f,1b
exertion,ABOL,pseudo-unrelated,unrelated,f,1b
fearful,PROSP,pseudo-unrelated,unrelated,f,1b
trooper,WHISP,pseudo-unrelated,unrelated,f,1b
maternal,SHUD,pseudo-unrelated,unrelated,f,1b
blissful,SLEND,pseudo-unrelated,unrelated,f,1b
erasure,CALIB,pseudo-unrelated,unrelated,f,1b
slayer,PANTH,pseudo-unrelated,unrelated,f,1b
purify,AUG,pseudo-unrelated,unrelated,f,1b
tweeter,SINIST,pseudo-unrelated,unrelated,f,1b
hasten,SHELT,pseudo-unrelated,unrelated,f,1b
watcher,BOULD,pseudo-unrelated,unrelated,f,1b
looser,VILL,pseudo-unrelated,unrelated,f,1b
elusive,SART,pseudo-filler,unrelated,f,1b
dearly,SLOOM,pseudo-filler,unrelated,f,1b
pricey,CHRUG,pseudo-filler,unrelated,f,1b
squeaky,MEST,pseudo-filler,unrelated,f,1b
dreadful,LONUS,pseudo-filler,unrelated,f,1b
scenic,CRASP,pseudo-filler,unrelated,f,1b
moisture,FENT,pseudo-filler,unrelated,f,1b
pastoral,SOLK,pseudo-filler,unrelated,f,1b
penalize,SLEPS,pseudo-filler,unrelated,f,1b
shortage,SLUS,pseudo-filler,unrelated,f,1b
purist,FLOB,pseudo-filler,unrelated,f,1b
tenderly,DURP,pseudo-filler,unrelated,f,1b
populate,ZOT,pseudo-filler,unrelated,f,1b
urinate,PHIM,pseudo-filler,unrelated,f,1b
divorced,AIF,pseudo-filler,unrelated,f,1b
headache,PIRM,pseudo-filler,unrelated,f,1b
nameless,DRAID,pseudo-filler,unrelated,f,1b
attacker,PARN,pseudo-filler,unrelated,f,1b
mindless,FENCH,pseudo-filler,unrelated,f,1b
wildly,RULL,pseudo-filler,unrelated,f,1b
