priime,target,condition,primetype,corrAns,list
musician,READABLE,word-identity,unrelated,j,3b
optimist,DOCTORAL,word-identity,unrelated,j,3b
lively,BINDER,word-identity,unrelated,j,3b
nested,MERGER,word-identity,unrelated,j,3b
deepest,BREAKER,word-identity,unrelated,j,3b
facial,HELPER,word-identity,unrelated,j,3b
vanity,CUTTER,word-identity,unrelated,j,3b
herbal,BARKER,word-identity,unrelated,j,3b
immoral,CLIPPER,word-identity,unrelated,j,3b
abusive,CRUSHER,word-identity,unrelated,j,3b
farmer,FARMER,word-identity,related,j,3b
fisher,FISHER,word-identity,related,j,3b
healer,HEALER,word-identity,related,j,3b
holder,HOLDER,word-identity,related,j,3b
freezer,FREEZER,word-identity,related,j,3b
loader,LOADER,word-identity,related,j,3b
tension,TENSION,word-identity,related,j,3b
selfish,SELFISH,word-identity,related,j,3b
shipment,SHIPMENT,word-identity,related,j,3b
kinship,KINSHIP,word-identity,related,j,3b
fairness,TAXABLE,word-transparent,unrelated,j,3b
flagship,SEASONAL,word-transparent,unrelated,j,3b
textual,BEGINNER,word-transparent,unrelated,j,3b
tourist,CALLER,word-transparent,unrelated,j,3b
coercion,EXPLORER,word-transparent,unrelated,j,3b
reckless,FINDER,word-transparent,unrelated,j,3b
loosely,HANDLER,word-transparent,unrelated,j,3b
greedy,SOLVER,word-transparent,unrelated,j,3b
hardness,KEEPER,word-transparent,unrelated,j,3b
tighten,DREAMER,word-transparent,unrelated,j,3b
seeker,RUNNER,word-transparent,related,j,3b
learner,SHOOTER,word-transparent,related,j,3b
planner,TOASTER,word-transparent,related,j,3b
founder,WRAPPER,word-transparent,related,j,3b
burner,WAITER,word-transparent,related,j,3b
painter,BREWER,word-transparent,related,j,3b
erection,DEVOTION,word-transparent,related,j,3b
foolish,CHILDISH,word-transparent,related,j,3b
judgment,BASEMENT,word-transparent,related,j,3b
friendship,TOWNSHIP,word-transparent,related,j,3b
tactful,ADORABLE,word-opaque,unrelated,j,3b
keyhole,COASTAL,word-opaque,unrelated,j,3b
searcher,MILEAGE,word-opaque,unrelated,j,3b
