prime,target,condition,primetype,corrAns,list
readable,READABLE,word-identity,related,j,4a
doctoral,DOCTORAL,word-identity,related,j,4a
binder,BINDER,word-identity,related,j,4a
merger,MERGER,word-identity,related,j,4a
breaker,BREAKER,word-identity,related,j,4a
helper,HELPER,word-identity,related,j,4a
cutter,CUTTER,word-identity,related,j,4a
barker,BARKER,word-identity,related,j,4a
clipper,CLIPPER,word-identity,related,j,4a
crusher,CRUSHER,word-identity,related,j,4a
equity,FARMER,word-identity,unrelated,j,4a
dumbest,FISHER,word-identity,unrelated,j,4a
filthy,HEALER,word-identity,unrelated,j,4a
denial,HOLDER,word-identity,unrelated,j,4a
cruelty,FREEZER,word-identity,unrelated,j,4a
rushed,LOADER,word-identity,unrelated,j,4a
slavery,TENSION,word-identity,unrelated,j,4a
bondage,SELFISH,word-identity,unrelated,j,4a
faithful,SHIPMENT,word-identity,unrelated,j,4a
modesty,KINSHIP,word-identity,unrelated,j,4a
playable,TAXABLE,word-transparent,related,j,4a
causal,SEASONAL,word-transparent,related,j,4a
catcher,BEGINNER,word-transparent,related,j,4a
sticker,CALLER,word-transparent,related,j,4a
charger,EXPLORER,word-transparent,related,j,4a
sinner,FINDER,word-transparent,related,j,4a
cooler,HANDLER,word-transparent,related,j,4a
dancer,SOLVER,word-transparent,related,j,4a
feeder,KEEPER,word-transparent,related,j,4a
filler,DREAMER,word-transparent,related,j,4a
density,RUNNER,word-transparent,unrelated,j,4a
scratchy,SHOOTER,word-transparent,unrelated,j,4a
plainly,TOASTER,word-transparent,unrelated,j,4a
primal,WRAPPER,word-transparent,unrelated,j,4a
gracious,WAITER,word-transparent,unrelated,j,4a
gaseous,BREWER,word-transparent,unrelated,j,4a
literal,DEVOTION,word-transparent,unrelated,j,4a
clarify,CHILDISH,word-transparent,unrelated,j,4a
entrance,BASEMENT,word-transparent,unrelated,j,4a
deadline,TOWNSHIP,word-transparent,unrelated,j,4a
potable,ADORABLE,word-opaque,related,j,4a
admiral,COASTAL,word-opaque,related,j,4a
pillage,MILEAGE,word-opaque,related,j,4a
damper,ADVISER,word-opaque,related,j,4a
coaster,ADMIRER,word-opaque,related,j,4a
summer,BUZZER,word-opaque,related,j,4a
hammer,COOKER,word-opaque,related,j,4a
ladder,ERASER,word-opaque,related,j,4a
ponder,GAMBLER,word-opaque,related,j,4a
ledger,GOLFER,word-opaque,related,j,4a
filmed,JOGGER,word-opaque,unrelated,j,4a
sturdy,LENDER,word-opaque,unrelated,j,4a
warned,MARKER,word-opaque,unrelated,j,4a
failure,OFFENDER,word-opaque,unrelated,j,4a
safety,RAIDER,word-opaque,unrelated,j,4a
simply,REAPER,word-opaque,unrelated,j,4a
package,ATTRACTION,word-opaque,unrelated,j,4a
lightly,SLUGGISH,word-opaque,unrelated,j,4a
grossly,DRUNKARD,word-opaque,unrelated,j,4a
seagull,MOVEMENT,word-opaque,unrelated,j,4a
accuse,BLAME,word-semantic,related,j,4a
arrow,BOW,word-semantic,related,j,4a
balloon,HELIUM,word-semantic,related,j,4a
mustache,BEARD,word-semantic,related,j,4a
insane,CRAZY,word-semantic,related,j,4a
blanket,QUILT,word-semantic,related,j,4a
borrow,LEND,word-semantic,related,j,4a
compact,DISC,word-semantic,related,j,4a
concert,TICKET,word-semantic,related,j,4a
elect,VOTE,word-semantic,related,j,4a
swear,SHAME,word-semantic,unrelated,j,4a
precise,QUEST,word-semantic,unrelated,j,4a
purple,FLEX,word-semantic,unrelated,j,4a
junior,WIDE,word-semantic,unrelated,j,4a
inform,PROSE,word-semantic,unrelated,j,4a
offense,ITCH,word-semantic,unrelated,j,4a
pear,EXCEL,word-semantic,unrelated,j,4a
delight,GULP,word-semantic,unrelated,j,4a
barrel,DOZEN,word-semantic,unrelated,j,4a
exploit,GYM,word-semantic,unrelated,j,4a
smoulder,DRIVER,word-pseudopaque,related,j,4a
fluster,GRINDER,word-pseudopaque,related,j,4a
clatter,HITTER,word-pseudopaque,related,j,4a
stammer,KILLER,word-pseudopaque,related,j,4a
colander,LOCKER,word-pseudopaque,related,j,4a
anger,MAILER,word-pseudopaque,related,j,4a
blather,MIXER,word-pseudopaque,related,j,4a
whither,OFFICER,word-pseudopaque,related,j,4a
launder,PEELER,word-pseudopaque,related,j,4a
cloister,PLAYER,word-pseudopaque,related,j,4a
chemist,DILUTION,word-pseudopaque,unrelated,j,4a
wonderful,SHORTAGE,word-pseudopaque,unrelated,j,4a
freeway,SPINAL,word-pseudopaque,unrelated,j,4a
joystick,COOLANT,word-pseudopaque,unrelated,j,4a
painful,POINTER,word-pseudopaque,unrelated,j,4a
mixture,PRINTER,word-pseudopaque,unrelated,j,4a
rapidly,EASEMENT,word-pseudopaque,unrelated,j,4a
exactly,SETTLER,word-pseudopaque,unrelated,j,4a
slowly,SCORER,word-pseudopaque,unrelated,j,4a
totally,BOOSTER,word-pseudopaque,unrelated,j,4a
affable,AFF,pseudo-transparent,related,f,4a
blubber,BLUB,pseudo-transparent,related,f,4a
scallion,SCALL,pseudo-transparent,related,f,4a
squander,SQUAND,pseudo-transparent,related,f,4a
smother,SMOTH,pseudo-transparent,related,f,4a
garnish,GARN,pseudo-transparent,related,f,4a
frantic,FRANT,pseudo-transparent,related,f,4a
adrenal,ADREN,pseudo-transparent,related,f,4a
abolish,ABOL,pseudo-transparent,related,f,4a
prosper,PROSP,pseudo-transparent,related,f,4a
whisper,WHISP,pseudo-transparent,related,f,4a
shudder,SHUD,pseudo-transparent,related,f,4a
slender,SLEND,pseudo-transparent,related,f,4a
caliber,CALIB,pseudo-transparent,related,f,4a
panther,PANTH,pseudo-transparent,related,f,4a
augment,AUG,pseudo-transparent,related,f,4a
sinister,SINIST,pseudo-transparent,related,f,4a
shelter,SHELT,pseudo-transparent,related,f,4a
boulder,BOULD,pseudo-transparent,related,f,4a
village,VILL,pseudo-transparent,related,f,4a
smoulper,SMOULD,pseudo-orthographic,related,f,4a
flusper,FLUST,pseudo-orthographic,related,f,4a
clazzer,CLAT,pseudo-orthographic,related,f,4a
stawder,STAM,pseudo-orthographic,related,f,4a
colaffer,COLAND,pseudo-orthographic,related,f,4a
anter,ANG,pseudo-orthographic,related,f,4a
blasher,BLATH,pseudo-orthographic,related,f,4a
whipher,WHITH,pseudo-orthographic,related,f,4a
launper,LAUND,pseudo-orthographic,related,f,4a
cloinder,CLOIST,pseudo-orthographic,related,f,4a
fillion,FISS,pseudo-orthographic,related,f,4a
advampage,ADVANT,pseudo-orthographic,related,f,4a
scampal,SCAND,pseudo-orthographic,related,f,4a
eleshant,ELEPH,pseudo-orthographic,related,f,4a
